,Dual_dist,seed,Algorithm,naive_init,lr,epoch_num,momentum,best_obj,max_grid_obj,max_data_obj
0,bernoulli_1,0,SGD_c_l_rate,True,1e-05,10,NA,-265.1903381347656,-311.9981204487481,-308.52709161259224
1,bernoulli_1,0,SGD_c_l_rate,True,0.0001,10,NA,-278.0008850097656,-311.9981204487481,-308.52709161259224
2,bernoulli_1,0,SGD_c_l_rate,True,0.001,10,NA,-278.52960205078125,-311.9981204487481,-308.52709161259224
3,bernoulli_1,0,SGD_c_l_rate,True,0.01,10,NA,-261.59716796875,-311.9981204487481,-308.52709161259224
4,bernoulli_1,0,SGD_c_l_rate,True,0.1,10,NA,-261.59716796875,-311.9981204487481,-308.52709161259224
5,bernoulli_1,0,SGD_c_l_rate,False,1e-05,10,NA,-309.1698913574219,-311.9981204487481,-308.52709161259224
6,bernoulli_1,0,SGD_c_l_rate,False,0.0001,10,NA,-310.8590393066406,-311.9981204487481,-308.52709161259224
7,bernoulli_1,0,SGD_c_l_rate,False,0.001,10,NA,-308.5269470214844,-311.9981204487481,-308.52709161259224
8,bernoulli_1,0,SGD_c_l_rate,False,0.01,10,NA,-308.5269470214844,-311.9981204487481,-308.52709161259224
9,bernoulli_1,0,SGD_c_l_rate,False,0.1,10,NA,-308.5269470214844,-311.9981204487481,-308.52709161259224
10,bernoulli_1,0,SGD_scale_by_ep,True,1e-05,10,NA,-262.2843017578125,-311.9981204487481,-308.52709161259224
11,bernoulli_1,0,SGD_scale_by_ep,True,0.0001,10,NA,-267.1026916503906,-311.9981204487481,-308.52709161259224
12,bernoulli_1,0,SGD_scale_by_ep,True,0.001,10,NA,-278.7897033691406,-311.9981204487481,-308.52709161259224
13,bernoulli_1,0,SGD_scale_by_ep,True,0.01,10,NA,-261.59716796875,-311.9981204487481,-308.52709161259224
14,bernoulli_1,0,SGD_scale_by_ep,True,0.1,10,NA,-261.59716796875,-311.9981204487481,-308.52709161259224
15,bernoulli_1,0,SGD_scale_by_ep,False,1e-05,10,NA,-308.6674499511719,-311.9981204487481,-308.52709161259224
16,bernoulli_1,0,SGD_scale_by_ep,False,0.0001,10,NA,-309.57977294921875,-311.9981204487481,-308.52709161259224
17,bernoulli_1,0,SGD_scale_by_ep,False,0.001,10,NA,-308.5269470214844,-311.9981204487481,-308.52709161259224
18,bernoulli_1,0,SGD_scale_by_ep,False,0.01,10,NA,-308.5269470214844,-311.9981204487481,-308.52709161259224
19,bernoulli_1,0,SGD_scale_by_ep,False,0.1,10,NA,-308.5269470214844,-311.9981204487481,-308.52709161259224
20,bernoulli_1,0,SGD_adaptive,True,1e-05,10,NA,-261.6632385253906,-311.9981204487481,-308.52709161259224
21,bernoulli_1,0,SGD_adaptive,True,0.0001,10,NA,-262.25531005859375,-311.9981204487481,-308.52709161259224
22,bernoulli_1,0,SGD_adaptive,True,0.001,10,NA,-267.0262756347656,-311.9981204487481,-308.52709161259224
23,bernoulli_1,0,SGD_adaptive,True,0.01,10,NA,-280.217529296875,-311.9981204487481,-308.52709161259224
24,bernoulli_1,0,SGD_adaptive,True,0.1,10,NA,-280.41259765625,-311.9981204487481,-308.52709161259224
25,bernoulli_1,0,SGD_adaptive,False,1e-05,10,NA,-308.5303039550781,-311.9981204487481,-308.52709161259224
26,bernoulli_1,0,SGD_adaptive,False,0.0001,10,NA,-308.5930480957031,-311.9981204487481,-308.52709161259224
27,bernoulli_1,0,SGD_adaptive,False,0.001,10,NA,-308.9065246582031,-311.9981204487481,-308.52709161259224
28,bernoulli_1,0,SGD_adaptive,False,0.01,10,NA,-311.6543884277344,-311.9981204487481,-308.52709161259224
29,bernoulli_1,0,SGD_adaptive,False,0.1,10,NA,-308.52691650390625,-311.9981204487481,-308.52709161259224
